report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2020-00006039,2202-06-30,13:25:00,MACDONALD AVE,16TH ST,Wednesday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22350,2202-06-30 13:25:00,"MACDONALD AVE AND 16TH ST, RICHMOND, CA",37.9356,-122.35425,0.99,intersection,Richmond,CA,Contra Costa County,94801
2020-0007656,2020-08-22,07:35:00,RICHMOND PKWY,LAKESIDE DR,Saturday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,,22350,2020-08-22 07:35:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2020-0008447,2020-09-02,20:08:00,CUTTING BLVD,S. 34TH ST,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,,21801A,2020-09-02 20:08:00,"CUTTING BLVD AND S. 34TH ST, RICHMOND, CA",37.925244,-122.336718,0.96,intersection,Richmond,CA,Contra Costa County,94804
2020-0011521,2020-12-22,07:04:00,29TH ST,RHEEM AVE,Tuesday,,Traffic Signals and Signs,No,Broadside,Bicycle,No Pedestrian Involved,NORTHERN,7,22450A,2020-12-22 07:04:00,"29TH ST AND RHEEM AVE, RICHMOND, CA",37.949861,-122.338819,1.0,intersection,Richmond,CA,Contra Costa County,94804
2020-008872,2020-09-28,15:23:00,CUTTING BLVD,HARBOUR WY S,Monday,,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,,23152A,2020-09-28 15:23:00,"CUTTING BLVD AND HARBOUR WY S, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2020-20000031,2020-01-01,18:18:00,BARRETT AV,36TH ST,Wednesday,3.0,Traffic Signals and Signs,No,Broadside,,No Pedestrian Involved,NORTHERN,,22450,2020-01-01 18:18:00,"BARRETT AV AND 36TH ST, RICHMOND, CA",37.936645,-122.334573,1.0,intersection,Richmond,CA,Contra Costa County,94805
2020-20082126,2020-08-21,18:32:00,23RD ST,MAINE AV,Friday,,Not Stated,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,,,2020-08-21 18:32:00,"23RD ST AND MAINE AV, RICHMOND, CA",37.928006,-122.347646,0.8,intersection,Richmond,CA,Contra Costa County,94804
2021-00007283,2021-08-07,02:16:00,27TH ST,NEVIN AVE,Saturday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450A,2021-08-07 02:16:00,"27TH ST AND NEVIN AVE, RICHMOND, CA",37.936208,-122.342651,1.0,intersection,Richmond,CA,Contra Costa County,94804
2021-00009256,2021-10-07,16:00:00,23RD ST,BISSELL AVE,Thursday,,Unknown,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2021-10-07 16:00:00,"23RD ST AND BISSELL AVE, RICHMOND, CA",37.934126,-122.347556,0.9,intersection,Richmond,CA,Contra Costa County,94804
2021-00010895,2021-11-27,22:00:00,PAYNE DR,BELL WAY,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22107,2021-11-27 22:00:00,"PAYNE DR AND BELL WAY, RICHMOND, CA",37.98623,-122.355668,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2021-00011206,2021-12-07,13:18:00,FACTORY ST,HENSLEY ST,Tuesday,,,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,20002 - Hit and Run,2021-12-07 13:18:00,"FACTORY ST AND HENSLEY ST, RICHMOND, CA",37.947344,-122.367031,0.91,intersection,Richmond,CA,Contra Costa County,94801
2021-00011300,2021-12-12,10:17:00,6TH ST,LUCAS AVE,Sunday,,,Misdemeanor,Head-On,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,23103,2021-12-12 10:17:00,"6TH ST AND LUCAS AVE, RICHMOND, CA",37.944448,-122.363666,1.0,intersection,Richmond,CA,Contra Costa County,94801
2021-00011433,2021-12-16,16:30:00,HILLTOP MALL RD,AUTUMN DR,Thursday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,8,,2021-12-16 16:30:00,"HILLTOP MALL RD AND AUTUMN DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
